postcode,1,2,3,4,5,6,7,8,9
0,,,,,500.8,,,,
2007,,,,,,570.01,,,
2009,,,,,,,,780.0,
2026,,,,,,,,2.95,
2035,565.0,,,,,,,,
2060,,840.01,,,,,,,
2065,450.0,,,,,,,,
2067,,,,,,,,500.0,
2073,,,,,,,656.8,,
2075,,576.0,,,,,,,
2115,,,,,,,,2.5,
2118,,,,,,645.0,,,
2134,606.2,,,,,,,,
2140,,,650.0,750.0,500.0,750.0,,,
2150,,945.01,,,,,,,
2205,485.0,,,,,,505.3,,
2485,,,,790.0,,,,,
2565,,,,,,,,420.0,
2640,560.0,,,,,,,,
2641,,,,,,420.0,,,
2715,,,,,160.0,,,,
2731,,7.620000000000001,1257.0,130.19333333333336,3.6,3.73,,,
2734,370.0,,,,,,,,
2738,,,,360.0,,,,,
2899,,,,,,,,290.0,
3000,422.48282352941175,456.7852,467.5793902439025,513.7439166666667,492.54430379746833,518.8053157894736,2394.4683009708738,535.926866359447,544.6376811594203
3002,592.9545454545455,606.1904761904761,501.25,623.001,643.6666666666666,540.2941176470588,4266.739130434783,809.4230769230769,563.75
3003,422.7905263157895,429.3226315789474,424.014,485.45454545454544,454.2857142857143,481.49375,494.53333333333336,497.05882352941177,531.25
3004,517.5195348837209,571.1428571428571,602.8111111111111,581.5447368421053,599.7619047619048,598.9139130434783,467.39130434782606,764.1037931034482,570.875
3006,528.0741772151899,492.6091935483871,583.7827536231885,602.787619047619,598.6610169491526,605.7407894736842,574.8171666666666,616.9123333333333,533.4375
3008,724.5040206185568,518.2834444444445,520.7944897959184,860.140612244898,550.5122727272727,573.8296296296296,490.1740229885057,577.0127083333333,531.9970000000001
3011,452.29571428571427,342.127,391.93333333333334,398.7136363636364,421.42857142857144,485.425,371.8829411764706,424.94444444444446,495.0
3012,700.0,446.6666666666667,441.42857142857144,405.625,354.375,432.0,14063.75,439.54545454545456,489.0
3013,687.5,475.0,563.0,623.75,,515.0,535.0,615.0,642.5
3015,265.0,575.0,519.5,495.0,472.5,526.0,427.5,469.1666666666667,
3016,116.66666666666667,645.0,581.6666666666666,600.0,580.0,488.90999999999997,350.0,565.0,
3018,,450.0,375.0,,750.0,,,495.0,450.0
3019,392.75333333333333,533.3333333333334,448.68,436.25,375.0,418.3333333333333,363.8,490.0,430.0
3020,385.0,360.00333333333333,366.5625,391.6666666666667,384.0,378.5,423.0,412.5,301.242
3021,345.00374999999997,376.42857142857144,353.1,416.25,363.42857142857144,384.44444444444446,388.84615384615387,446.61538461538464,453.9066666666667
3022,380.0,430.0,380.0,,,,110.0,,
3023,400.0,6362.5,436.42857142857144,351.6,422.5,2263.75,441.6666666666667,476.0,390.0
3024,362.77777777777777,379.2307692307692,379.2857142857143,368.0,389.64285714285717,386.6666666666667,402.5,407.27272727272725,402.0
3025,540.0,290.0,366.6666666666667,555.0,370.0,437.5,427.5,479.16833333333335,560.0
3026,,455.0,460.0,,466.6666666666667,,,700.0,450.0
3027,403.3333333333333,455.8333333333333,420.0,420.0,437.77777777777777,423.3333333333333,454.0,434.375,555.0
3028,375.0,370.86833333333334,358.3333333333333,353.3333333333333,380.0,369.434,380.0,379.69875,
3029,386.71160714285713,386.184375,395.2040816326531,402.053488372093,391.62068965517244,784.2222222222222,412.63965517241377,433.9072151898734,446.07142857142856
3030,395.7894736842105,380.70303030303035,389.25,397.1212121212121,401.5151515151515,413.8888888888889,424.0740740740741,725.9563076923077,477.22222222222223
3031,376.0,451.53846153846155,470.0,549.001,456.42857142857144,538.3333333333334,406.25,464.44444444444446,529.235
3032,398.368,351.6666666666667,457.22222222222223,3706.25,496.42857142857144,442.0,444.155,472.50636363636363,395.0
3033,,,,,780.0,415.0,800.0,480.0,
3034,,448.3333333333333,,,430.0,550.0,593.3333333333334,460.0,
3037,320.0,435.0,,400.0,346.6666666666667,415.0,456.6666666666667,393.3333333333333,
3038,,,,,,,390.0,390.0,365.2
3039,450.0,342.0,468.5722222222222,567.4300000000001,376.25,472.5,380.0,474.2153846153846,431.6666666666667
3040,462.05222222222227,344.5075,403.34499999999997,371.875,402.0,433.843,401.87999999999994,414.1825,600.0
3041,443.47,473.0,412.16,800.0,258.0,429.775,401.63,375.0,438.25
3042,470.0,,177.0,,322.625,459.56333333333333,367.5,464.99500000000006,417.38
3043,443.3333333333333,385.0,185.83333333333334,28.6,430.0,460.0,403.635,251.108,476.5133333333333
3044,409.9,447.7516666666667,390.0,450.0,410.0,484.7757142857143,420.0,446.8181818181818,477.5
3046,437.5,444.78125,425.0,378.0,452.6940000000001,410.2745454545455,417.20666666666665,416.44899999999996,543.298
3047,,257.5,336.6666666666667,,340.0,365.0,387.5025,360.0,385.0
3048,,370.0,,,237.5,,480.02,360.0,310.0
3049,,420.0,,440.0,526.6666666666666,460.0,54500.0,435.0,
3051,377.36842105263156,413.7032,445.26000000000005,444.11411764705883,431.20307692307694,558.7675,8433.333333333334,450.3236363636364,900.0
3052,337.5,463.1818181818182,768.1538461538462,404.3442857142857,350.0,464.0,569.2925,395.0,
3053,390.8292682926829,420.8365,492.53125,430.23809523809524,493.01347826086953,1788.078947368421,507.88461538461536,604.074074074074,568.0769230769231
3054,486.0,493.3333333333333,445.0,612.5,,520.0,265.0,706.0,320.0
3055,442.5,451.451,407.492,481.40999999999997,391.875,421.42857142857144,378.0,457.145625,620.0
3056,427.4242105263158,507.08599999999996,493.0,523.105,476.825,409.1666666666667,397.88142857142856,478.46153846153845,458.5
3057,488.629,407.0,514.1757894736842,570.0,502.4214285714285,398.83666666666664,513.75,448.5,505.0
3058,456.25,457.6666666666667,433.8,511.453,567.2222222222222,430.7142857142857,502.5,488.125,432.0
3059,485.0,450.0,,500.0,600.0,520.0,545.0,450.0,
3060,403.0,439.995,443.79090909090905,341.06,432.03999999999996,490.0,415.7142857142857,412.5,525.0
3061,417.25,,,,330.0,,,460.02,
3062,,,,,,,12.0,,
3064,415.2225,439.27086956521737,435.6521739130435,407.8611111111111,423.4926666666667,448.10052631578947,452.94925925925924,439.566,509.1555555555555
3065,549.1666666666666,568.5714285714286,561.25,740.0,541.204,397.14285714285717,365.0,576.25,
3066,586.25,559.5353333333334,438.8888888888889,388.0,560.625,586.25,534.375,613.25,3.0
3067,420.90909090909093,558.8461538461538,451.26666666666665,431.25,555.75,518.0675,408.125,550.1569999999999,
3068,604.2857142857143,588.8035714285714,648.1818181818181,640.0,523.1833333333333,513.7360000000001,464.0,673.5714285714286,420.0
3070,737.0,646.6666666666666,589.1036,540.8813333333333,451.66333333333336,633.4733333333334,433.0,620.0,450.0
3071,536.1111111111111,576.875,516.1636363636363,381.34000000000003,280.0,410.8333333333333,463.3333333333333,503.0,332.5
