,stop_suburb,stop_latitude,stop_longitude,stop_id,stop_name,postcode
0,ashburton,-37.8683167,145.079666,1002,Alamein Station,3147
1,ashburton,-37.86197,145.081345,1010,Ashburton Station,3147
2,hawthorn east,-37.8224,145.045837,1012,Auburn Station,3123
3,burnley,-37.8275566,145.007553,1030,Burnley Station,3121
4,glen iris,-37.8515625,145.0805,1031,Burwood Station,3146
5,camberwell,-37.8265648,145.058685,1032,Camberwell Station,3124
6,richmond,-37.8264046,144.99707,1059,East Richmond Station,3121
7,melbourne city,-37.8119774,144.955658,1068,Flagstaff Station,
8,melbourne city,-37.81831,144.966965,1071,Flinders Street Station,
9,hawthorn,-37.8214645,145.036438,1080,Glenferrie Station,3122
10,camberwell,-37.8439827,145.075562,1087,Hartwell Station,3124
11,hawthorn,-37.8218231,145.0229,1090,Hawthorn Station,3122
12,melbourne city,-37.8099365,144.9626,1120,Melbourne Central Station,
13,melbourne city,-37.8110542,144.9729,1155,Parliament Station,
14,richmond,-37.8240738,144.990158,1162,Richmond Station,3121
15,camberwell,-37.8315,145.069641,1166,Riversdale Station,3124
16,melbourne city,-37.8183327,144.95253,1181,Southern Cross Station,
17,camberwell,-37.8357124,145.0703,1213,Willison Station,3124
18,bayswater,-37.84173,145.268143,1016,Bayswater Station,3153
19,belgrave,-37.9091,145.355286,1018,Belgrave Station,3160
20,blackburn,-37.82007,145.150009,1023,Blackburn Station,3130
21,boronia,-37.8604546,145.284378,1025,Boronia Station,3155
22,box hill,-37.8192177,145.121429,1026,Box Hill Station,3128
23,canterbury,-37.82449,145.081223,1033,Canterbury Station,3126
24,surrey hills,-37.8243027,145.088654,1037,Chatham Station,3127
25,camberwell,-37.8258934,145.068192,1057,East Camberwell Station,3124
26,ferntree gully,-37.8817,145.295258,1067,Ferntree Gully Station,3156
27,ringwood,-37.81884,145.213547,1091,Heatherdale Station,3134
28,heathmont,-37.82832,145.244553,1092,Heathmont Station,3135
29,blackburn,-37.8207779,145.1407,1111,Laburnum Station,3130
30,mitcham,-37.8180847,145.192886,1128,Mitcham Station,3132
