Name	Suburb	Stores Number	Location
EPPING NORTH SHOPPING CENTRE Victoria	 Epping	 stores: 16	 GPS: -37.628168,145.027155
FEDERATION SQUARE (FED SQUARE) Victoria	 Melbourne	 stores: 25	 GPS: -37.81797,144.969024
FOOTSCRAY MARKET Victoria	 Footscray	 stores: 58	 GPS: -37.800522,144.901875
FOOTSCRAY PLAZA SHOPPING CENTRE Victoria	 Footscray	 stores: 6	 GPS: -37.802426,144.894785
FOREST HILL CHASE SHOPPING CENTRE Victoria	 Forest Hill	 stores: 174	 GPS: -37.835453,145.164718
FRANKSTON POWER CENTRE Victoria	 Frankston	 stores: 24	 GPS: -38.148946,145.137326
GALLERIA MELBOURNE Victoria	 Melbourne	 stores: 31	 GPS: -37.814824,144.962743
GATEWAY PLAZA Victoria	 Warrnambool	 stores: 32	 GPS: -38.381608,142.519768
GEELONG GATE HOMEMAKER CENTRE Victoria	 Geelong	 stores: 15	 GPS: -38.065015,144.383085
GIPPSLAND CENTRE Victoria	 Sale	 stores: 51	 GPS: -38.106745,147.06271
GISBORNE VILLAGE SHOPPING CENTRE Victoria	 Gisborne	 stores: 55	 GPS: -37.485605,144.589909
GLADSTONE PARK SHOPPING CENTRE Victoria	 Gladstone Park	 stores: 33	 GPS: -37.688293,144.88463
GREENSBOROUGH PLAZA Victoria	 Greensborough	 stores: 178	 GPS: -37.702696,145.102816
GREENVALE SHOPPING CENTRE Victoria	 Greenvale	 stores: 28	 GPS: -37.639349,144.881948
HAMPTON PARK SHOPPING CENTRE Victoria	 Hampton Park	 stores: 17	 GPS: -38.032654,145.265843
HARBOUR TOWN MELBOURNE Victoria	 Docklands	 stores: 98	 GPS: -37.812574,144.939344
HARVEY NORMAN - WANGARATTA Victoria	 Wangaratta	 stores: 4	 GPS: -36.356748,146.325113
HARVEY NORMAN CENTRE - HOPPERS CROSSING Victoria	 Hoppers Crossing	 stores: 5	 GPS: -37.875109,144.710844
HARVEY NORMAN CENTRE MARIBYRNONG Victoria	 Maribyrnong	 stores: 8	 GPS: -37.772658,144.885527
HARVEY NORMAN CENTRE WARRNAMBOOL Victoria	 Warrnambool	 stores: 7	 GPS: -38.383231,142.523999
HEALESVILLE WALK SHOPPING CENTRE Victoria	 Healesville	 stores: 15	 GPS: -37.652833,145.518043
HIGHETT SHOPPING CENTRE Victoria	 Highett	 stores: 13	 GPS: -37.949024,145.041367
HIGHPOINT SHOPPING CENTRE Victoria	 Maribyrnong	 stores: 454	 GPS: -37.77369,144.888781
HOGAN'S CORNER SHOPPING CENTRE Victoria	 Hoppers Crossing	 stores: 19	 GPS: -37.861908,144.68726
HOME QUARTER DANDENONG Victoria	 Dandenong	 stores: 10	 GPS: -38.005209,145.21853
HOMECO. BALLARAT (FORM. WENDOUREE HOMEMAKER CENTRE) Victoria	 Wendouree	 stores: 14	 GPS: -37.5343837,143.8211086
HOMEMAKER CITY MARIBYRNONG Victoria	 Maribyrnong	 stores: 15	 GPS: -37.771563,144.884429
HOMEMAKERS ALBURY WODONGA Victoria	 Wodonga	 stores: 9	 GPS: -36.137884,146.90877
HOMEPLUS HOMEMAKER CENTRE Victoria	 Chadstone	 stores: 12	 GPS: -37.877598,145.091922
HORSHAM PLAZA Victoria	 Horsham	 stores: 28	 GPS: -36.715718,142.196203
IVANHOE PLAZA Victoria	 Ivanhoe	 stores: 12	 GPS: -37.768183,145.04146
