,year,area_code,Total,SA2 code,SA2 name,Postcode
0,2001,21001,5756,21001,Alfredton,3350.0
0,2022,21001,18235,21001,Alfredton,3350.0
1,2001,21002,11497,21002,Ballarat,3350.0
1,2023,21001,19815,21002,Ballarat,3350.0
2,2001,21003,20268,21003,Ballarat - North,3350.0
2,2024,21001,21586,21003,Ballarat - North,3350.0
3,2001,21004,20424,21004,Ballarat - South,3350.0
3,2025,21001,23574,21004,Ballarat - South,3350.0
4,2001,21005,5320,21005,Buninyong,3350.0
4,2026,21001,25809,21005,Buninyong,3350.0
5,2001,21006,4154,21006,Delacombe,3351.0
5,2022,21002,11955,21006,Delacombe,3351.0
6,2001,21007,3317,21007,Smythes Creek,3351.0
6,2023,21002,11821,21007,Smythes Creek,3351.0
7,2001,21008,13355,21008,Wendouree - Miners Rest,3352.0
7,2024,21002,11675,21008,Wendouree - Miners Rest,3352.0
8,2001,21009,4900,21009,Bacchus Marsh Region,3340.0
8,2025,21002,11517,21009,Bacchus Marsh Region,3340.0
9,2001,21010,7467,21010,Creswick - Clunes,3352.0
9,2026,21002,11347,21010,Creswick - Clunes,3352.0
10,2001,21011,8201,21011,Daylesford,3363.0
10,2022,21003,24510,21011,Daylesford,3363.0
11,2001,21012,5350,21012,Gordon (Vic.),3333.0
11,2023,21003,24667,21012,Gordon (Vic.),3333.0
12,2001,21013,3151,21013,Avoca,3352.0
12,2024,21003,24819,21013,Avoca,3352.0
13,2001,21014,3809,21014,Beaufort,3325.0
13,2025,21003,24966,21014,Beaufort,3325.0
14,2001,21015,3875,21015,Golden Plains - North,3324.0
14,2026,21003,25108,21015,Golden Plains - North,3324.0
15,2001,21016,7742,21016,Maryborough (Vic.),3465.0
15,2022,21004,25535,21016,Maryborough (Vic.),3465.0
16,2001,21017,5375,21017,Maryborough Region,3370.0
16,2023,21004,25803,21017,Maryborough Region,3370.0
17,2001,21018,15549,21018,Bendigo,3550.0
17,2024,21004,26073,21018,Bendigo,3550.0
18,2001,21019,9453,21019,California Gully - Eaglehawk,3550.0
18,2025,21004,26345,21019,California Gully - Eaglehawk,3550.0
19,2001,21020,12682,21020,East Bendigo - Kennington,3550.0
19,2026,21004,26620,21020,East Bendigo - Kennington,3550.0
20,2001,21021,8823,21021,Flora Hill - Spring Gully,3550.0
20,2022,21005,7216,21021,Flora Hill - Spring Gully,3550.0
21,2001,21022,16792,21022,Kangaroo Flat - Golden Square,3555.0
21,2023,21005,7187,21022,Kangaroo Flat - Golden Square,3555.0
22,2001,21023,2708,21023,Maiden Gully,3551.0
22,2024,21005,7146,21023,Maiden Gully,3551.0
23,2001,21024,4134,21024,Strathfieldsaye,3551.0
23,2025,21005,7093,21024,Strathfieldsaye,3551.0
24,2001,21025,6171,21025,White Hills - Ascot,3550.0
24,2026,21005,7029,21025,White Hills - Ascot,3550.0
25,2001,21026,4976,21026,Bendigo Region - South,3444.0
25,2022,21006,11486,21026,Bendigo Region - South,3444.0
26,2001,21027,9358,21027,Castlemaine,3450.0
26,2023,21006,12433,21027,Castlemaine,3450.0
27,2001,21028,7724,21028,Castlemaine Region,3364.0
27,2024,21006,13495,21028,Castlemaine Region,3364.0
28,2001,21029,3895,21029,Heathcote,3444.0
28,2025,21006,14688,21029,Heathcote,3444.0
29,2001,21030,7941,21030,Kyneton,3435.0
29,2026,21006,16030,21030,Kyneton,3435.0
30,2001,21031,5915,21031,Woodend,3437.0
30,2022,21007,4251,21031,Woodend,3437.0
31,2001,21032,3900,21032,Bendigo Region - North,3551.0
31,2023,21007,4289,21032,Bendigo Region - North,3551.0
32,2001,21033,8033,21033,Loddon,3463.0
32,2024,21007,4326,21033,Loddon,3463.0
33,2001,21034,2569,21034,Bannockburn,3221.0
33,2025,21007,4362,21034,Bannockburn,3221.0
34,2001,21035,5111,21035,Golden Plains - South,3221.0
34,2026,21007,4397,21035,Golden Plains - South,3221.0
35,2001,21036,5418,21036,Winchelsea,3216.0
35,2022,21008,15487,21036,Winchelsea,3216.0
36,2001,21037,14160,21037,Belmont,3216.0
36,2023,21008,15668,21037,Belmont,3216.0
37,2001,21038,26445,21038,Corio - Norlane,3214.0
37,2024,21008,15858,21038,Corio - Norlane,3214.0
38,2001,21039,11944,21039,Geelong,3215.0
38,2025,21008,16057,21039,Geelong,3215.0
39,2001,21040,18634,21040,Geelong West - Hamlyn Heights,3215.0
39,2026,21008,16265,21040,Geelong West - Hamlyn Heights,3215.0
40,2001,21041,14497,21041,Grovedale,3216.0
40,2022,21009,6656,21041,Grovedale,3216.0
41,2001,21042,15469,21042,Highton,3216.0
41,2023,21009,6784,21042,Highton,3216.0
42,2001,21043,13075,21043,Lara,3211.0
42,2024,21009,6917,21043,Lara,3211.0
43,2001,21044,8074,21044,Leopold,3222.0
43,2025,21009,7056,21044,Leopold,3222.0
44,2001,21045,13933,21045,Newcomb - Moolap,3219.0
44,2026,21009,7200,21045,Newcomb - Moolap,3219.0
45,2001,21046,9774,21046,Newtown (Vic.),3220.0
45,2022,21010,8112,21046,Newtown (Vic.),3220.0
46,2001,21047,13578,21047,North Geelong - Bell Park,3215.0
46,2023,21010,8194,21047,North Geelong - Bell Park,3215.0
47,2001,21048,10204,21048,Clifton Springs,3222.0
47,2024,21010,8281,21048,Clifton Springs,3222.0
48,2001,21049,4748,21049,Lorne - Anglesea,3230.0
48,2025,21010,8373,21049,Lorne - Anglesea,3230.0
49,2001,21050,15596,21050,Ocean Grove - Barwon Heads,3221.0
49,2026,21010,8471,21050,Ocean Grove - Barwon Heads,3221.0
50,2001,21051,5391,21051,Portarlington,3221.0
50,2022,21011,10076,21051,Portarlington,3221.0
51,2001,21052,4124,21052,Point Lonsdale - Queenscliff,3222.0
51,2023,21011,10297,21052,Point Lonsdale - Queenscliff,3222.0
52,2001,21053,10225,21053,Torquay,3216.0
52,2024,21011,10534,21053,Torquay,3216.0
53,2001,21054,6263,21054,Alexandra,3666.0
53,2025,21011,10788,21054,Alexandra,3666.0
54,2001,21055,6188,21055,Euroa,3610.0
54,2026,21011,11060,21055,Euroa,3610.0
55,2001,21056,8889,21056,Kilmore - Broadford,3658.0
55,2022,21012,6470,21056,Kilmore - Broadford,3658.0
56,2001,21057,6907,21057,Mansfield (Vic.),3669.0
56,2023,21012,6613,21057,Mansfield (Vic.),3669.0
57,2001,21058,3311,21058,Nagambie,3523.0
57,2024,21012,6767,21058,Nagambie,3523.0
58,2001,21059,6987,21059,Seymour,3660.0
58,2025,21012,6933,21059,Seymour,3660.0
59,2001,21060,4213,21060,Seymour Region,3435.0
59,2026,21012,7111,21060,Seymour Region,3435.0
60,2001,21061,173,21061,Upper Yarra Valley,3799.0
60,2022,21013,3519,21061,Upper Yarra Valley,3799.0
61,2001,21062,3497,21062,Yea,3658.0
61,2023,21013,3540,21062,Yea,3658.0
62,2001,21063,10247,21063,Benalla,3672.0
62,2024,21013,3562,21063,Benalla,3672.0
63,2001,21064,3632,21064,Benalla Region,3669.0
63,2025,21013,3584,21064,Benalla Region,3669.0
64,2001,21065,3432,21065,Rutherglen,3682.0
64,2026,21013,3607,21065,Rutherglen,3682.0
65,2001,21066,17109,21066,Wangaratta,3677.0
65,2022,21014,4707,21066,Wangaratta,3677.0
66,2001,21067,9151,21067,Wangaratta Region,3673.0
66,2023,21014,4802,21067,Wangaratta Region,3673.0
67,2001,21068,4216,21068,Beechworth,3747.0
67,2024,21014,4904,21068,Beechworth,3747.0
68,2001,21069,8111,21069,Bright - Mount Beauty,3691.0
68,2025,21014,5012,21069,Bright - Mount Beauty,3691.0
69,2001,21070,2904,21070,Chiltern - Indigo Valley,3683.0
69,2026,21014,5127,21070,Chiltern - Indigo Valley,3683.0
70,2001,21071,4714,21071,Myrtleford,3737.0
70,2022,21015,4964,21071,Myrtleford,3737.0
71,2001,21072,6204,21072,Towong,2642.0
71,2023,21015,5066,21072,Towong,2642.0
72,2001,21073,12929,21073,West Wodonga,3690.0
72,2024,21015,5174,21073,West Wodonga,3690.0
73,2001,21074,19035,21074,Wodonga,3690.0
73,2025,21015,5288,21074,Wodonga,3690.0
74,2001,21075,3997,21075,Yackandandah,3691.0
74,2026,21015,5409,21075,Yackandandah,3691.0
75,2001,21076,9882,21076,Drouin,3816.0
75,2022,21016,8173,21076,Drouin,3816.0
76,2001,21077,5736,21077,Mount Baw Baw Region,3818.0
76,2023,21016,8234,21077,Mount Baw Baw Region,3818.0
77,2001,21078,6112,21078,Trafalgar (Vic.),3821.0
77,2024,21016,8299,21078,Trafalgar (Vic.),3821.0
78,2001,21079,14203,21079,Warragul,3818.0
78,2025,21016,8369,21079,Warragul,3818.0
79,2026,21016,8443,21080,Alps - East,
80,2001,21081,12080,21081,Bairnsdale,3875.0
80,2022,21017,5545,21081,Bairnsdale,3875.0
81,2001,21082,6909,21082,Bruthen - Omeo,3701.0
81,2023,21017,5622,21082,Bruthen - Omeo,3701.0
82,2024,21017,5707,21083,Lake King,
83,2001,21084,8343,21084,Lakes Entrance,3887.0
83,2025,21017,5800,21084,Lakes Entrance,3887.0
84,2001,21085,7047,21085,Orbost,3885.0
84,2026,21017,5901,21085,Orbost,3885.0
85,2001,21086,4638,21086,Paynesville,3875.0
85,2022,21018,15013,21086,Paynesville,3875.0
86,2001,21087,8272,21087,Foster,3871.0
86,2023,21018,15083,21087,Foster,3871.0
87,2001,21088,90,21088,French Island,3921.0
87,2024,21018,15162,21088,French Island,3921.0
88,2001,21089,7981,21089,Korumburra,3945.0
88,2025,21018,15251,21089,Korumburra,3945.0
89,2001,21090,9791,21090,Leongatha,3835.0
89,2026,21018,15349,21090,Leongatha,3835.0
90,2001,21091,7361,21091,Phillip Island,3922.0
90,2022,21019,13252,21091,Phillip Island,3922.0
91,2001,21092,13,21092,Wilsons Promontory,3960.0
91,2023,21019,13601,21092,Wilsons Promontory,3960.0
92,2001,21093,17647,21093,Wonthaggi - Inverloch,3925.0
92,2024,21019,13972,21093,Wonthaggi - Inverloch,3925.0
93,2001,21094,11430,21094,Churchill,3840.0
93,2025,21019,14366,21094,Churchill,3840.0
94,2001,21095,17061,21095,Moe - Newborough,3825.0
94,2026,21019,14784,21095,Moe - Newborough,3825.0
95,2001,21096,14345,21096,Morwell,3840.0
95,2022,21020,13873,21096,Morwell,3840.0
96,2001,21097,22020,21097,Traralgon,3844.0
96,2023,21020,13810,21097,Traralgon,3844.0
97,2001,21098,4579,21098,Yallourn North - Glengarry,3825.0
97,2024,21020,13736,21098,Yallourn North - Glengarry,3825.0
98,2001,21099,26,21099,Alps - West,3858.0
98,2025,21020,13651,21099,Alps - West,3858.0
99,2001,21100,3830,21100,Longford - Loch Sport,3850.0
99,2026,21020,13556,21100,Longford - Loch Sport,3850.0
100,2001,21101,13002,21101,Maffra,3850.0
100,2022,21021,9392,21101,Maffra,3850.0
101,2001,21102,4441,21102,Rosedale,3844.0
101,2023,21021,9359,21102,Rosedale,3844.0
102,2001,21103,13676,21103,Sale,3850.0
102,2024,21021,9320,21103,Sale,3850.0
103,2001,21104,5686,21104,Yarram,3844.0
103,2025,21021,9276,21104,Yarram,3844.0
104,2001,21105,20661,21105,Brunswick,3055.0
104,2026,21021,9227,21105,Brunswick,3055.0
105,2001,21106,7263,21106,Brunswick East,3054.0
105,2022,21022,21323,21106,Brunswick East,3054.0
106,2001,21107,12415,21107,Brunswick West,3052.0
106,2023,21022,21591,21107,Brunswick West,3052.0
107,2001,21108,22916,21108,Coburg,3044.0
107,2024,21022,21865,21108,Coburg,3044.0
108,2001,21109,8841,21109,Pascoe Vale South,3044.0
108,2025,21022,22145,21109,Pascoe Vale South,3044.0
109,2001,21110,7885,21110,Alphington - Fairfield,3070.0
109,2026,21022,22431,21110,Alphington - Fairfield,3070.0
110,2001,21111,21150,21111,Northcote,3070.0
110,2022,21023,5563,21111,Northcote,3070.0
111,2001,21112,17056,21112,Thornbury,3070.0
111,2023,21023,5614,21112,Thornbury,3070.0
112,2001,21113,12516,21113,Ascot Vale,3032.0
112,2024,21023,5652,21113,Ascot Vale,3032.0
113,2001,21114,23968,21114,Essendon - Aberfeldie,3040.0
113,2025,21023,5677,21114,Essendon - Aberfeldie,3040.0
114,2001,21115,8063,21115,Flemington,3031.0
114,2026,21023,5688,21115,Flemington,3031.0
115,2001,21116,12608,21116,Moonee Ponds,3039.0
115,2022,21024,11033,21116,Moonee Ponds,3039.0
116,2001,21117,9529,21117,Carlton,3000.0
116,2023,21024,11386,21117,Carlton,3000.0
117,2001,21118,154,21118,Docklands,3005.0
117,2024,21024,11734,21118,Docklands,3005.0
118,2001,21119,3731,21119,East Melbourne,3000.0
118,2025,21024,12076,21119,East Melbourne,3000.0
119,2001,21120,37,21120,Flemington Racecourse,3031.0
119,2026,21024,12410,21120,Flemington Racecourse,3031.0
120,2001,21121,7686,21121,Kensington (Vic.),3031.0
120,2022,21025,15220,21121,Kensington (Vic.),3031.0
121,2001,21122,7644,21122,Melbourne,3000.0
121,2023,21025,16052,21122,Melbourne,3000.0
122,2001,21123,11639,21123,North Melbourne,3000.0
122,2024,21025,16945,21123,North Melbourne,3000.0
123,2001,21124,5332,21124,Parkville,3000.0
123,2025,21025,17904,21124,Parkville,3000.0
124,2001,21125,5317,21125,South Yarra - West,3004.0
124,2026,21025,18935,21125,South Yarra - West,3004.0
125,2001,21126,4330,21126,Southbank,3004.0
125,2022,21026,8532,21126,Southbank,3004.0
126,2023,21026,8765,21127,West Melbourne,
127,2001,21128,12368,21128,Albert Park,3004.0
127,2024,21026,9006,21128,Albert Park,3004.0
128,2001,21129,13342,21129,Elwood,3184.0
128,2025,21026,9254,21129,Elwood,3184.0
129,2001,21130,10903,21130,Port Melbourne,3207.0
129,2026,21026,9510,21130,Port Melbourne,3207.0
130,2001,21131,9,21131,Port Melbourne Industrial,3207.0
130,2022,21027,11439,21131,Port Melbourne Industrial,3207.0
131,2001,21132,8529,21132,South Melbourne,3004.0
131,2023,21027,11599,21132,South Melbourne,3004.0
132,2001,21133,19808,21133,St Kilda,3004.0
132,2024,21027,11766,21133,St Kilda,3004.0
133,2001,21134,15095,21134,St Kilda East,3182.0
133,2025,21027,11940,21134,St Kilda East,3182.0
134,2001,21135,8632,21135,Armadale,3143.0
134,2026,21027,12122,21135,Armadale,3143.0
135,2001,21136,16588,21136,Prahran - Windsor,3143.0
135,2022,21028,9261,21136,Prahran - Windsor,3143.0
136,2001,21137,12922,21137,South Yarra - East,3141.0
136,2023,21028,9382,21137,South Yarra - East,3141.0
137,2001,21138,13318,21138,Toorak,3142.0
137,2024,21028,9509,21138,Toorak,3142.0
138,2001,21139,4150,21139,Abbotsford,3067.0
138,2025,21028,9641,21139,Abbotsford,3067.0
139,2001,21140,8433,21140,Carlton North - Princes Hill,3054.0
139,2026,21028,9779,21140,Carlton North - Princes Hill,3054.0
140,2001,21141,5221,21141,Collingwood,3066.0
140,2022,21029,5152,21141,Collingwood,3066.0
141,2001,21142,8315,21142,Fitzroy,3065.0
141,2023,21029,5291,21142,Fitzroy,3065.0
142,2001,21143,11130,21143,Fitzroy North,3068.0
142,2024,21029,5440,21143,Fitzroy North,3068.0
143,2001,21144,24372,21144,Richmond (Vic.),3121.0
143,2025,21029,5600,21144,Richmond (Vic.),3121.0
144,2001,21145,7673,21145,Yarra - North,3068.0
144,2026,21029,5772,21145,Yarra - North,3068.0
145,2001,21146,7022,21146,Ashburton (Vic.),3145.0
145,2022,21030,10686,21146,Ashburton (Vic.),3145.0
146,2001,21147,15317,21147,Balwyn,3103.0
146,2023,21030,10885,21147,Balwyn,3103.0
147,2001,21148,19958,21148,Balwyn North,3103.0
147,2024,21030,11092,21148,Balwyn North,3103.0
148,2001,21149,20073,21149,Camberwell,3124.0
148,2025,21030,11308,21149,Camberwell,3124.0
149,2001,21150,15114,21150,Glen Iris - East,3123.0
149,2026,21030,11533,21150,Glen Iris - East,3123.0
150,2001,21151,19711,21151,Hawthorn,3122.0
150,2022,21031,8107,21151,Hawthorn,3122.0
151,2001,21152,12912,21152,Hawthorn East,3122.0
151,2023,21031,8319,21152,Hawthorn East,3122.0
152,2001,21153,24072,21153,Kew,3101.0
152,2024,21031,8545,21153,Kew,3101.0
153,2001,21154,6115,21154,Kew East,3101.0
153,2025,21031,8786,21154,Kew East,3101.0
154,2001,21155,15952,21155,Surrey Hills (West) - Canterbury,3124.0
154,2026,21031,9042,21155,Surrey Hills (West) - Canterbury,3124.0
155,2001,21156,11057,21156,Bulleen,3105.0
155,2022,21032,5006,21156,Bulleen,3105.0
156,2001,21157,18365,21157,Doncaster,3107.0
156,2023,21032,5112,21157,Doncaster,3107.0
157,2001,21159,17182,21159,Templestowe,3106.0
157,2024,21032,5225,21159,Templestowe,3106.0
158,2001,21160,13634,21160,Templestowe Lower,3106.0
158,2025,21032,5345,21160,Templestowe Lower,3106.0
159,2001,21424,15248,21424,Doncaster East (North),
159,2026,21032,5472,21424,Doncaster East (North),
160,2001,21425,11912,21425,Doncaster East (South),
160,2022,21033,7279,21425,Doncaster East (South),
161,2001,21161,19123,21161,Blackburn,3130.0
161,2023,21033,7337,21161,Blackburn,3130.0
162,2001,21162,10608,21162,Blackburn South,3130.0
162,2024,21033,7403,21162,Blackburn South,3130.0
163,2001,21163,15447,21163,Box Hill,3128.0
163,2025,21033,7479,21163,Box Hill,3128.0
164,2001,21164,15780,21164,Box Hill North,3104.0
164,2026,21033,7564,21164,Box Hill North,3104.0
165,2001,21165,9807,21165,Burwood,3125.0
165,2022,21034,7994,21165,Burwood,3125.0
166,2001,21166,10180,21166,Burwood East,3151.0
166,2023,21034,8246,21166,Burwood East,3151.0
167,2001,21167,9243,21167,Surrey Hills (East) - Mont Albert,3127.0
167,2024,21034,8488,21167,Surrey Hills (East) - Mont Albert,3127.0
168,2001,21168,12763,21168,Beaumaris,3192.0
168,2025,21034,8718,21168,Beaumaris,3192.0
169,2001,21169,21029,21169,Brighton (Vic.),3186.0
169,2026,21034,8935,21169,Brighton (Vic.),3186.0
170,2001,21170,14355,21170,Brighton East,3186.0
170,2022,21035,8323,21170,Brighton East,3186.0
171,2001,21171,9657,21171,Cheltenham - Highett (West),3188.0
171,2023,21035,8596,21171,Cheltenham - Highett (West),3188.0
172,2001,21172,16026,21172,Hampton,3186.0
172,2024,21035,8885,21172,Hampton,3186.0
173,2001,21173,14432,21173,Sandringham - Black Rock,3188.0
173,2025,21035,9191,21173,Sandringham - Black Rock,3188.0
174,2001,21174,19086,21174,Bentleigh - McKinnon,3187.0
174,2026,21035,9516,21174,Bentleigh - McKinnon,3187.0
175,2001,21176,14982,21176,Carnegie,3163.0
175,2022,21036,6726,21176,Carnegie,3163.0
176,2001,21177,18975,21177,Caulfield - North,3145.0
176,2023,21036,6880,21177,Caulfield - North,3145.0
177,2001,21178,15636,21178,Caulfield - South,3162.0
177,2024,21036,7046,21178,Caulfield - South,3162.0
178,2001,21179,10340,21179,Elsternwick,3185.0
178,2025,21036,7224,21179,Elsternwick,3185.0
179,2001,21180,6382,21180,Hughesdale,3166.0
179,2026,21036,7415,21180,Hughesdale,3166.0
180,2001,21181,8004,21181,Murrumbeena,3163.0
180,2022,21037,15192,21181,Murrumbeena,3163.0
181,2001,21182,10915,21182,Ormond - Glen Huntly,3163.0
181,2023,21037,15407,21182,Ormond - Glen Huntly,3163.0
182,2001,21426,12594,21426,Bentleigh East (North),
182,2024,21037,15641,21426,Bentleigh East (North),
183,2001,21427,11814,21427,Bentleigh East (South),
183,2025,21037,15894,21427,Bentleigh East (South),
184,2001,21183,5561,21183,Aspendale Gardens - Waterways,3195.0
184,2026,21037,16166,21183,Aspendale Gardens - Waterways,3195.0
185,2001,21184,14,21184,Braeside,3195.0
185,2022,21038,27560,21184,Braeside,3195.0
186,2001,21185,10278,21185,Carrum - Patterson Lakes,3175.0
186,2023,21038,27734,21185,Carrum - Patterson Lakes,3175.0
187,2001,21186,11598,21186,Chelsea - Bonbeach,3196.0
187,2024,21038,27920,21186,Chelsea - Bonbeach,3196.0
188,2001,21187,5440,21187,Chelsea Heights,3196.0
188,2025,21038,28118,21187,Chelsea Heights,3196.0
189,2001,21188,19727,21188,Cheltenham - Highett (East),3189.0
189,2026,21038,28329,21188,Cheltenham - Highett (East),3189.0
190,2001,21189,11587,21189,Edithvale - Aspendale,3195.0
190,2022,21039,13602,21189,Edithvale - Aspendale,3195.0
191,2001,21190,11561,21190,Mentone,3194.0
191,2023,21039,13732,21190,Mentone,3194.0
192,2001,21191,6484,21191,Moorabbin - Heatherton,3169.0
192,2024,21039,13867,21191,Moorabbin - Heatherton,3169.0
193,2025,21039,14008,21192,Moorabbin Airport,
194,2001,21193,16326,21193,Mordialloc - Parkdale,3195.0
194,2026,21039,14155,21193,Mordialloc - Parkdale,3195.0
195,2001,21194,18525,21194,Malvern - Glen Iris,3144.0
195,2022,21040,21557,21194,Malvern - Glen Iris,3144.0
196,2001,21195,19439,21195,Malvern East,3145.0
196,2023,21040,21891,21195,Malvern East,3145.0
197,2001,21196,8890,21196,Bundoora - East,3083.0
197,2024,21040,22247,21196,Bundoora - East,3083.0
198,2001,21197,21359,21197,Greensborough,3088.0
198,2025,21040,22626,21197,Greensborough,3088.0
199,2001,21198,12805,21198,Heidelberg - Rosanna,3084.0
199,2026,21040,23029,21198,Heidelberg - Rosanna,3084.0
200,2001,21199,13300,21199,Heidelberg West,3081.0
200,2022,21041,37682,21199,Heidelberg West,3081.0
201,2001,21200,10493,21200,Ivanhoe,3079.0
201,2023,21041,40541,21200,Ivanhoe,3079.0
202,2001,21201,7656,21201,Ivanhoe East - Eaglemont,3079.0
202,2024,21041,43724,21201,Ivanhoe East - Eaglemont,3079.0
203,2001,21202,15726,21202,Montmorency - Briar Hill,3088.0
203,2025,21041,47272,21202,Montmorency - Briar Hill,3088.0
204,2001,21203,18270,21203,Viewbank - Yallambie,3084.0
204,2026,21041,51233,21203,Viewbank - Yallambie,3084.0
205,2001,21204,9468,21204,Watsonia,3083.0
205,2022,21042,24379,21204,Watsonia,3083.0
206,2001,21205,6084,21205,Kingsbury,3083.0
206,2023,21042,24659,21205,Kingsbury,3083.0
207,2001,21207,24082,21207,Reservoir - East,3072.0
207,2024,21042,24919,21207,Reservoir - East,3072.0
208,2001,21208,22957,21208,Reservoir - West,3058.0
208,2025,21042,25158,21208,Reservoir - West,3058.0
209,2001,21428,16709,21428,Preston - East,
209,2026,21042,25376,21428,Preston - East,
210,2001,21429,11144,21429,Preston - West,
210,2022,21043,21370,21429,Preston - West,
211,2001,21209,24279,21209,Eltham,3095.0
211,2023,21043,21906,21209,Eltham,3095.0
212,2001,21210,3718,21210,Hurstbridge,3091.0
212,2024,21043,22458,21210,Hurstbridge,3091.0
213,2001,21211,3677,21211,Kinglake,3757.0
213,2025,21043,23026,21211,Kinglake,3757.0
214,2001,21212,5103,21212,Panton Hill - St Andrews,3097.0
214,2026,21043,23612,21212,Panton Hill - St Andrews,3097.0
215,2001,21213,7787,21213,Plenty - Yarrambat,3088.0
215,2022,21044,13430,21213,Plenty - Yarrambat,3088.0
216,2001,21214,6956,21214,Research - North Warrandyte,3095.0
216,2023,21044,13640,21214,Research - North Warrandyte,3095.0
217,2001,21215,12601,21215,Wattle Glen - Diamond Creek,3089.0
217,2024,21044,13842,21215,Wattle Glen - Diamond Creek,3089.0
218,2001,21216,2293,21216,Bundoora - North,3083.0
218,2025,21044,14035,21216,Bundoora - North,3083.0
219,2001,21217,6949,21217,Bundoora - West,3083.0
219,2026,21044,14220,21217,Bundoora - West,3083.0
220,2001,21219,21412,21219,Lalor,3074.0
220,2022,21045,15419,21219,Lalor,3074.0
221,2001,21220,18680,21220,Mill Park - North,3076.0
221,2023,21045,15431,21220,Mill Park - North,3076.0
222,2001,21221,13680,21221,Mill Park - South,3082.0
222,2024,21045,15437,21221,Mill Park - South,3082.0
223,2001,21223,22546,21223,Thomastown,3074.0
223,2025,21045,15437,21223,Thomastown,3074.0
224,2001,21224,7916,21224,Wallan,3658.0
224,2026,21045,15431,21224,Wallan,3658.0
225,2001,21225,5781,21225,Whittlesea,3064.0
225,2022,21046,10429,21225,Whittlesea,3064.0
226,2001,21430,466,21430,Doreen,
226,2023,21046,10451,21430,Doreen,
227,2001,21431,9823,21431,Epping - East,
227,2024,21046,10472,21431,Epping - East,
228,2001,21432,8556,21432,Epping - South,
228,2025,21046,10492,21432,Epping - South,
229,2001,21433,655,21433,Epping - West,
229,2026,21046,10511,21433,Epping - West,
230,2001,21434,831,21434,Mernda,
230,2022,21047,15901,21434,Mernda,
231,2001,21435,514,21435,South Morang (North),
231,2023,21047,16069,21435,South Morang (North),
232,2001,21436,4815,21436,South Morang (South),
232,2024,21047,16243,21436,South Morang (South),
233,2001,21437,389,21437,Wollert,
233,2025,21047,16423,21437,Wollert,
234,2001,21226,6997,21226,Airport West,3042.0
234,2026,21047,16610,21226,Airport West,3042.0
235,2022,21048,17443,21227,Essendon Airport,
236,2001,21228,9341,21228,Keilor,3033.0
236,2023,21048,18232,21228,Keilor,3033.0
237,2001,21229,25899,21229,Keilor East,3033.0
237,2024,21048,19088,21229,Keilor East,3033.0
238,2001,21230,5903,21230,Niddrie - Essendon West,3033.0
238,2025,21048,20018,21230,Niddrie - Essendon West,3033.0
239,2001,21231,8838,21231,Strathmore,3041.0
239,2026,21048,21028,21231,Strathmore,3041.0
240,2001,21232,9055,21232,Gisborne,3337.0
240,2022,21049,6375,21232,Gisborne,3337.0
241,2001,21233,3516,21233,Macedon,3437.0
241,2023,21049,6577,21233,Macedon,3437.0
242,2001,21234,3471,21234,Riddells Creek,3431.0
242,2024,21049,6796,21234,Riddells Creek,3431.0
243,2001,21235,7425,21235,Romsey,3430.0
243,2025,21049,7033,21235,Romsey,3430.0
244,2001,21236,6404,21236,Coburg North,3044.0
244,2026,21049,7289,21236,Coburg North,3044.0
245,2001,21237,12297,21237,Fawkner,3060.0
245,2022,21050,32546,21237,Fawkner,3060.0
246,2001,21239,19181,21239,Pascoe Vale,3044.0
246,2023,21050,34585,21239,Pascoe Vale,3044.0
247,2001,21438,18553,21438,Glenroy,
247,2024,21050,36836,21438,Glenroy,
248,2001,21439,526,21439,Gowanbrae,
248,2025,21050,39324,21439,Gowanbrae,
249,2001,21440,5711,21440,Hadfield,
249,2026,21050,42076,21440,Hadfield,
250,2001,21240,10282,21240,Sunbury,3063.0
250,2022,21051,9920,21240,Sunbury,3063.0
251,2001,21241,20226,21241,Sunbury - South,3427.0
251,2023,21051,10433,21241,Sunbury - South,3427.0
252,2001,21242,12127,21242,Broadmeadows,3047.0
252,2024,21051,10994,21242,Broadmeadows,3047.0
253,2001,21243,16125,21243,Campbellfield - Coolaroo,3047.0
253,2025,21051,11607,21243,Campbellfield - Coolaroo,3047.0
254,2001,21245,18851,21245,Gladstone Park - Westmeadows,3043.0
254,2026,21051,12278,21245,Gladstone Park - Westmeadows,3043.0
255,2001,21246,9950,21246,Greenvale - Bulla,3048.0
255,2022,21052,5709,21246,Greenvale - Bulla,3048.0
256,2001,21247,15929,21247,Meadow Heights,3048.0
256,2023,21052,5992,21247,Meadow Heights,3048.0
257,2001,21248,149,21248,Melbourne Airport,3036.0
257,2024,21052,6307,21248,Melbourne Airport,3036.0
258,2001,21249,10152,21249,Roxburgh Park - Somerton,3059.0
258,2025,21052,6658,21249,Roxburgh Park - Somerton,3059.0
259,2001,21250,6744,21250,Tullamarine,3043.0
259,2026,21052,7049,21250,Tullamarine,3043.0
260,2001,21441,6842,21441,Craigieburn - Central,
260,2022,21053,25989,21441,Craigieburn - Central,
261,2001,21442,120,21442,Craigieburn - North,
261,2023,21053,27464,21442,Craigieburn - North,
262,2001,21443,8654,21443,Craigieburn - South,
262,2024,21053,29051,21443,Craigieburn - South,
263,2001,21444,55,21444,Craigieburn - West,
