,bathrooms,bedrooms,carspaces,postcode,train_distance,train_count,hospital_count,shopping_mall_distance,shopping_mall_count,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,university,garden,park,playground,pitch,offence count,incidents recorded,bus_distance,bus_count,school_count,school_distance,tram_distance,tram_count,rent,Median_age,median,population,has_bond,count,distance_to_melbourne
0,1.0,1.0,0.0,3205,2.3724792626728073,0,0,1.5307741935483856,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.7912811059907818,10,3,322.7774746543735,0.13329493087557623,24,5.873056402677797,39,69810.2975181224,3730,0,1564,3374.803225806451
1,2.0,2.0,1.0,3205,2.411859903381642,0,0,1.4864444444444458,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.7383574879227045,10,3,338.78640096618017,0.1833768115942028,24,6.379858888867523,39,69810.2975181224,6528,0,1564,4831.3009661835795
2,1.0,2.0,0.0,3205,2.921702222222224,0,0,1.4825777777777798,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.4407599999999998,10,3,312.0592933333303,0.20878666666666665,24,6.361756894708276,39,69810.2975181224,11759,0,1564,3558.056000000002
3,1.0,3.0,0.0,3205,3.1445249999999993,0,0,1.4185249999999998,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.29017500000000007,10,3,1755.7603499999836,0.21585000000000004,24,6.570844191279981,39,69810.2975181224,11759,0,1564,3563.0950000000003
4,2.0,2.0,0.0,3205,3.1658200000000005,0,0,1.4221200000000003,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.33793999999999996,10,3,1405.0332599999874,0.29089999999999994,24,6.580744140864359,39,69810.2975181224,11759,1,1564,3721.17
5,3.0,3.0,1.0,3205,3.29325,0,0,1.50275,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.19675,10,3,17563.405749999845,0.34850000000000003,24,6.78441060144157,38,68466.04220312608,11860,0,1564,3896.25
6,2.0,2.0,2.0,3205,2.32253846153846,0,0,1.7437692307692305,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.8494871794871796,10,3,1801.680820512804,0.28669230769230764,24,6.542272828556916,39,69810.2975181224,11759,0,1564,3462.871794871795
7,1.0,2.0,1.0,3205,2.4497357723577218,0,0,1.5256260162601625,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.7396016260162599,10,3,286.1230894308918,0.17187804878048782,24,6.242950940498477,39,69810.2975181224,11759,0,1564,4008.6382113821137
8,2.0,3.0,0.0,3205,3.1209464285714286,0,0,1.4438392857142854,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.3506964285714285,10,3,1257.2245357142742,0.22321428571428567,24,6.852923833889382,39,69810.2975181224,11759,0,1564,3630.8339285714283
9,1.0,1.0,1.0,3205,2.201278969957078,0,0,1.6688412017167367,0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,0.0,8.0,16.0,10.0,5.0,22895,17201,0.9331630901287548,10,3,302.64628755364583,0.20187553648068657,24,5.998901524729234,39,69810.2975181224,17368,0,1564,3292.8600858369045
