,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,school,university,garden,park,playground,pitch,surburb,postcode
96,,1.0,,,,,1.0,,,,,,,,mont albert,3127
97,63.0,46.0,6.0,58.0,13.0,331.0,55.0,30.0,24.0,,3.0,88.0,51.0,102.0,mont albert north,3129
98,68.0,1.0,4.0,2.0,,73.0,,,8.0,,60.0,42.0,28.0,55.0,box hill,3128
99,1.0,2.0,,,3.0,15.0,,2.0,3.0,,,15.0,5.0,6.0,preston,3072
100,,,,,,,,,,,,,,,clyde north,3978
101,77.0,6.0,1.0,18.0,2.0,245.0,29.0,8.0,17.0,,7.0,131.0,56.0,97.0,blackburn north,3130
102,5.0,1.0,,,,14.0,10.0,5.0,3.0,,2.0,9.0,4.0,8.0,prahran east,3181
103,12.0,2.0,,4.0,2.0,8.0,4.0,1.0,1.0,,,3.0,2.0,6.0,bulleen,3105
104,49.0,38.0,,45.0,12.0,197.0,30.0,13.0,17.0,,2.0,79.0,36.0,101.0,chadstone,3148
105,5.0,1.0,,5.0,2.0,13.0,1.0,,3.0,,,15.0,11.0,20.0,edithvale,3196
106,8.0,3.0,1.0,2.0,1.0,39.0,6.0,4.0,5.0,,,34.0,15.0,25.0,mordialloc,3195
107,,,,1.0,,3.0,,,1.0,,,4.0,4.0,2.0,blackburn south,3130
108,40.0,25.0,1.0,12.0,1.0,223.0,25.0,6.0,17.0,,5.0,74.0,31.0,423.0,mitcham,3132
109,,2.0,,5.0,,52.0,2.0,4.0,5.0,,,28.0,16.0,55.0,hampton east,3188
110,15.0,8.0,,5.0,1.0,14.0,15.0,,2.0,1.0,,4.0,3.0,12.0,mornington,3931
111,17.0,7.0,1.0,6.0,1.0,74.0,10.0,4.0,7.0,,1.0,23.0,6.0,260.0,frankston south,3199
112,5.0,5.0,,,,37.0,1.0,2.0,3.0,,1.0,8.0,7.0,130.0,caulfield east,3145
113,6.0,,,,,4.0,1.0,,1.0,,,6.0,1.0,4.0,mount eliza,3930
114,,3.0,1.0,1.0,,24.0,1.0,1.0,5.0,,,3.0,2.0,10.0,mount martha,3934
115,18.0,20.0,,11.0,2.0,88.0,16.0,2.0,1.0,,,10.0,4.0,16.0,ivanhoe east,3079
116,54.0,9.0,1.0,15.0,3.0,89.0,8.0,3.0,8.0,,2.0,28.0,14.0,44.0,moorabbin,3189
117,,1.0,,1.0,,94.0,,,,,1.0,5.0,3.0,7.0,fairfield,3078
