,stop_suburb,stop_latitude,stop_longitude,stop_id,stop_name,postcode
0,ararat,-37.28244,142.9369,1501,Ararat Railway Station,3377
1,ararat,-37.28364,142.931992,26759,Ararat Town Hall/Barkly St,3377
2,macarthur,-38.0330124,141.999741,21122,Eversley St/Hamilton - Port Fairy Rd,3286
3,hamilton,-37.7466,142.028275,4125,Hamilton Station/Station St,3300
4,dunkeld,-37.6494637,142.34256,4130,Information Centre/Glenelg Hwy,3294
5,halls gap,-37.14062,142.518982,4539,Information Centre/Grampians Rd,3381
6,pomonal,-37.1916771,142.609039,26150,Lake Fyans Tourist Rd/Ararat - Pomonal Rd,3381
7,warrnambool,-38.3823776,142.4859,18178,Lava Street Interchange/Lava St,3280
8,moyston,-37.3008,142.765549,26317,Moyston - Dunkeld Rd/Ararat - Pomonal Rd,3377
9,byaduk,-37.94686,141.952377,21861,Pearses Rd/Hamilton - Port Fairy Rd,3301
10,port fairy,-38.38352,142.239044,4156,Port Fairy Visitor Centre/Bank St,3284
11,melbourne,-37.8150864,144.951157,4529,Southern Cross Coach Terminal/Spencer St,3008
12,melbourne,-37.8183327,144.95253,1181,Southern Cross Railway Station,3000
13,warrnambool,-38.3851128,142.4757,4103,Warrnambool Station/Merri St,3280
14,byaduk north,-37.8942757,141.954437,23376,White St/Hamilton - Port Fairy Rd,3300
15,albury (nsw),-36.0842438,146.924332,1500,Albury Railway Station,
16,avenel,-36.8936424,145.229523,1502,Avenel Railway Station,3664
17,benalla,-36.54482,145.984009,1508,Benalla Railway Station,3671
18,broadford,-37.20726,145.042877,1511,Broadford Railway Station,3658
19,broadmeadows,-37.6830521,144.919617,1028,Broadmeadows Railway Station,3047
20,chiltern,-36.1556358,146.611374,1515,Chiltern Railway Station,3683
21,craigieburn,-37.6019249,144.943314,1044,Craigieburn Railway Station,3064
22,donnybrook,-37.542572,144.969543,1520,Donnybrook Railway Station,3064
23,essendon,-37.75601,144.9162,1064,Essendon Railway Station,3040
24,euroa,-36.7491341,145.568085,1525,Euroa Railway Station,3666
25,euroa,-36.7494,145.56842,4576,Euroa Station/Railway St,3666
26,heathcote junction,-37.3717079,145.0282,1529,Heathcote Junction Railway Station,3758
27,kilmore east,-37.29321,144.983566,1532,Kilmore East Railway Station,3764
28,wangaratta,-36.3533478,146.324753,4532,King George Gardens/Rowan St,3676
29,west melbourne,-37.80631,144.941513,1144,North Melbourne Railway Station,3003
30,wangaratta,-36.3535,146.3246,23745,Ovens St/Rowan St,3676
31,seymour,-37.02529,145.137436,1554,Seymour Railway Station,3660
32,springhurst,-36.185894,146.470428,1557,Springhurst Railway Station,3682
33,tallarook,-37.09233,145.103,1560,Tallarook Railway Station,3659
34,violet town,-36.6388168,145.715927,1565,Violet Town Railway Station,3669
35,wallan,-37.41686,145.005371,1574,Wallan Railway Station,3756
36,wandong,-37.3546753,145.026413,1566,Wandong Railway Station,3758
37,wangaratta,-36.3550644,146.317169,1567,Wangaratta Railway Station,3676
38,wodonga,-36.12004,146.885635,4582,Wodonga CBD/Elgin Bvd,3689
39,wodonga,-36.1051559,146.8712,1571,Wodonga Railway Station,3689
40,west wodonga,-36.10956,146.855423,29462,Wodonga TAFE/87 McKoy St,3690
