,Name,Suburb,Location,postcode
0,206 BOURKE STREET Victoria,Melbourne," GPS: -37.812733,144.966947",3000
1,ACLAND COURT SHOPPING CENTRE Victoria,St Kilda," GPS: -37.868967,144.980617",3182
2,ALTONA GATE SHOPPING CENTRE Victoria,Melbourne," GPS: -37.828989,144.84627",3000
3,BALNARRING VILLAGE SHOPPING CENTRE Victoria,Balnarring," GPS: -38.373199,145.12501",3926
4,BARKLY SQUARE Victoria,Brunswick," GPS: -37.775695,144.962004",3056
5,BARRABOOL HILLS PLAZA Victoria,Geelong," GPS: -38.161872,144.305826",3220
6,BAYSIDE SHOPPING CENTRE Victoria,Frankston," GPS: -38.141951,145.124068",3199
7,BELLARINE VILLAGE SHOPPING CENTRE Victoria,Newcomb," GPS: -38.168784,144.388547",3219
8,BELLPOST SHOPPING CENTRE Victoria,Geelong," GPS: -38.089309,144.336645",3220
9,BELMONT VILLAGE Victoria,Belmont," GPS: -38.170104,144.349107",3216
10,BENDIGO MARKETPLACE Victoria,Bendigo," GPS: -36.765765,144.280743",3550
11,BENTONS SQUARE SHOPPING CENTRE Victoria,Mornington," GPS: -38.245416,145.048067",3931
12,BERWICK MARKETPLACE Victoria,Berwick," GPS: -38.02951,145.346619",3806
13,BIRALLEE VILLAGE SHOPPING CENTRE Victoria,Wodonga," GPS: -36.127763,146.86482",3689
14,BOURKE STREET MALL Victoria,Melbourne," GPS: -37.813538,144.964386",3000
15,BOX HILL CENTRAL Victoria,Box Hill," GPS: -37.818677,145.12179",3128
16,BRAND SMART PREMIUM OUTLET CENTRE Victoria,Nunawading," GPS: -37.819375,145.1714718",3131
17,BRANDON PARK SHOPPING CENTRE Victoria,Wheelers Hill," GPS: -37.905522,145.161647",3150
18,BRAYBROOK SHOPPING CENTRE Victoria,Braybrook," GPS: -37.782172,144.86422",3019
19,BRIMBANK CENTRAL SHOPPING CENTRE Victoria,Deer Park," GPS: -37.751223,144.775276",3023
20,BROADMEADOWS SHOPPING CENTRE Victoria,Broadmeadows," GPS: -37.680244,144.91953",3047
21,BULLEEN PLAZA Victoria,Bulleen," GPS: -37.76613,145.091637",3105
22,BURNSIDE HUB Victoria,Burnside," GPS: -37.75938,144.753677",3023
23,BURWOOD ONE SHOPPING CENTRE Victoria,Burwood East," GPS: -37.853784,145.149761",3151
24,CAMBERWELL SUNDAY MARKET Victoria,Camberwell," GPS: -37.82931,145.058043",3124
25,CAMPBELLFIELD PLAZA Victoria,Melbourne," GPS: -37.689343,144.960737",3000
26,CANTERBURY GARDENS SHOPPING CENTRE Victoria,Bayswater," GPS: -37.822732,145.301494",3153
27,CARNEGIE CENTRAL Victoria,Carnegie," GPS: -37.884786,145.058444",3163
28,CAULFIELD PLAZA SHOPPING CENTRE Victoria,Caulfield East," GPS: -37.876146,145.04284",3145
29,CENTRAL SQUARE SHOPPING CENTRE Victoria,Altona Meadows," GPS: -37.873122,144.776038",3028
30,CENTRAL WEST SHOPPING CENTRE Victoria,Braybrook," GPS: -37.793489,144.861609",3019
31,CENTRO SUNSHINE MARKETPLACE Victoria,Sunshine," GPS: -37.78187,144.831506",3020
32,CENTURY CITY WALK Victoria,Glen Waverley," GPS: -37.881427,145.164632",3150
33,CHADSTONE THE FASHION CAPITAL Victoria,Chadstone," GPS: -37.886038881076,145.08346106348",3148
34,CHIRNSIDE HOMEMAKER CENTRE Victoria,Chirnside Park," GPS: -37.765247,145.305655",3116
35,CHIRNSIDE PARK SHOPPING CENTRE Victoria,Chirnside Park," GPS: -37.758258,145.313972",3116
36,CIVIC SQUARE SHOPPING CENTRE Victoria,Croydon," GPS: -37.799301795285,145.28299318557",3136
37,COBURG HILL SHOPPING CENTRE Victoria,Coburg North," GPS: -37.729625,144.983537",3058
38,COLLINS PLACE Victoria,Melbourne," GPS: -37.814312,144.97268",3000
39,COLLINS234 BOUTIQUE PLACE Victoria,Melbourne," GPS: -37.815545,144.965749",3000
40,CORIO VILLAGE SHOPPING CENTRE Victoria,Corio," GPS: -38.074772,144.355819",3214
41,CRAIGIEBURN CENTRAL Victoria,Craigieburn," GPS: -37.592986,144.912268",3064
42,CRANBOURNE HOMEMAKER CENTRE Victoria,Cranbourne," GPS: -38.085817,145.279178",3977
43,CRANBOURNE PARK Victoria,Cranbourne," GPS: -38.109657,145.282017",3977
44,CROYDON CENTRAL SHOPPING CENTRE Victoria,Croydon," GPS: -37.794026,145.278937",3136
45,CS SQUARE SHOPPING CENTRE Victoria,Caroline Springs," GPS: -37.731774,144.743748",3023
46,DANDENONG PLAZA Victoria,Dandenong," GPS: -37.986731,145.217684",3175
47,DARLEY PLAZA Victoria,Darley," GPS: -37.659449,144.440871",3340
48,DFO ESSENDON Victoria,Essendon," GPS: -37.733125,144.906547",3040
49,DFO MOORABBIN Victoria,Moorabbin," GPS: -37.971261,145.08812",3189
50,DFO SOUTH WHARF Victoria,South Wharf," GPS: -37.825196,144.949879",3006
51,DIAMOND CREEK SHOPPING STATION Victoria,Diamond Creek," GPS: -37.673551,145.15957",3089
52,DINGLEY VILLAGE SHOPPING CENTRE Victoria,Dingley Village," GPS: -37.983412,145.132541",3172
53,DROMANA HUB SHOPPING CENTRE Victoria,Dromana," GPS: -38.333538,144.964645",3936
54,EASTLAND SHOPPING CENTRE Victoria,Ringwood," GPS: -37.812672,145.229157",3134
55,EASTWOOD VILLAGE SHOPPING CENTRE Victoria,Bairnsdale," GPS: -37.826676,147.629682",3875
56,ELIZA SQUARE SHOPPING CENTRE Victoria,Mount Eliza," GPS: -38.183794,145.089375",3930
57,ELTHAM VILLAGE SHOPPING CENTRE Victoria,Eltham," GPS: -37.714902,145.148743",3095
58,EMPORIUM MELBOURNE Victoria,Melbourne," GPS: -37.812517,144.963555",3000
59,ENDEAVOUR HILLS SHOPPING CENTRE Victoria,Endeavour Hills," GPS: -37.976993,145.258788",3802
60,EPPING NORTH SHOPPING CENTRE Victoria,Epping," GPS: -37.628168,145.027155",3076
61,FEDERATION SQUARE (FED SQUARE) Victoria,Melbourne," GPS: -37.81797,144.969024",3000
62,FOOTSCRAY MARKET Victoria,Footscray," GPS: -37.800522,144.901875",3011
63,FOOTSCRAY PLAZA SHOPPING CENTRE Victoria,Footscray," GPS: -37.802426,144.894785",3011
64,FOREST HILL CHASE SHOPPING CENTRE Victoria,Forest Hill," GPS: -37.835453,145.164718",3131
65,FRANKSTON POWER CENTRE Victoria,Frankston," GPS: -38.148946,145.137326",3199
66,GALLERIA MELBOURNE Victoria,Melbourne," GPS: -37.814824,144.962743",3000
67,GATEWAY PLAZA Victoria,Warrnambool," GPS: -38.381608,142.519768",3280
68,GEELONG GATE HOMEMAKER CENTRE Victoria,Geelong," GPS: -38.065015,144.383085",3220
