,stop_suburb,stop_latitude,stop_longitude,stop_id,stop_name,postcode
0,avondale heights,-37.7622337,144.85968,23570,Avondale Heights Reserve/Doyle St,3034
1,maribyrnong,-37.7694435,144.872772,31671,Canning Reserve/Canning St,3032
2,avondale heights,-37.769413,144.857254,25271,Canning St/Herbert St,3034
3,maribyrnong,-37.7690125,144.877823,11239,Central Park Ave/Cordite Ave,3032
4,avondale heights,-37.75926,144.857391,25277,Davis Ave/Skewes St,3034
5,avondale heights,-37.7541924,144.85614,23576,Glamis Dr/The Crossway South,3034
6,avondale heights,-37.77076,144.868652,12052,Glenside St/Canning St,3034
7,maribyrnong,-37.77306,144.887253,17759,Highpoint SC/Rosamond Rd,3032
8,avondale heights,-37.7585068,144.856979,23573,Holden Ave/Skewes St,3034
9,maribyrnong,-37.77249,144.886017,12503,Homemaker City/Rosamond Rd,3032
10,avondale heights,-37.77054,144.864,23564,Lacy St/Canning St,3034
11,avondale heights,-37.7704964,144.86430000000001,25269,Military Rd/Canning St,3034
12,keilor east,-37.7499237,144.860214,23580,Milleara SC/Amis Cres,3033
13,keilor east,-37.7505875,144.860718,23578,Milleara SC/Buckley St,3033
14,avondale heights,-37.77,144.859375,23565,Moffat St/Canning St,3034
15,avondale heights,-37.7551422,144.856216,25279,Mountain View Ave/Doyle St,3034
16,avondale heights,-37.75646,144.85611,23574,Mountain View Ave/Skewes St,3034
17,avondale heights,-37.75521,144.856216,23575,North Rd/Doyle St,3034
18,avondale heights,-37.76113,144.858078,23572,Ridley Ave/Skewes St,3034
19,avondale heights,-37.7510338,144.855621,23577,River Dr/The Crossway South,3034
20,avondale heights,-37.76936,144.857147,23566,Riverside Ave/Herbert St,3034
21,avondale heights,-37.766613,144.85759,23567,Robson Ave/Herbert St,3034
22,avondale heights,-37.7641869,144.858276,23569,Rogerson St/Lancaster Ave,3034
23,avondale heights,-37.76116,144.8586,23571,Skewes St/Ridley Ave,3034
24,avondale heights,-37.7699,144.8594,25270,Sydney St/Canning St,3034
25,maribyrnong,-37.7694435,144.883926,11236,Wests Rd/Raleigh Rd,3032
26,braybrook,-37.78011,144.857025,20874,Annesley St/Ballarat Rd,3019
27,maidstone,-37.7814751,144.865677,20877,Ashley St/Ballarat Rd,3012
28,maidstone,-37.78353,144.868515,20867,Ballarat Rd/Churchill Ave,3012
29,sunshine,-37.77942,144.847122,20870,Ballarat Rd/Duke St,3020
30,footscray,-37.79818,144.888351,20888,Barkly St/Gordon St,3011
31,footscray,-37.79955,144.892975,22386,Barkly St/Victoria St,3011
32,braybrook,-37.77925,144.849854,20871,Braybrook College/Ballarat Rd,3019
33,braybrook,-37.7863121,144.852829,10627,Braybrook Shops/Churchill Ave,3019
34,braybrook,-37.78089,144.846985,22361,Burnett Ave/Duke St,3019
35,braybrook,-37.7794571,144.851547,20872,Butler St/Ballarat Rd,3019
36,braybrook,-37.78674,144.850143,10443,Caroline Chisholm College/Churchill Ave,3019
37,braybrook,-37.78097,144.8626,22369,Castley Cres/Ballarat Rd,3019
38,braybrook,-37.78614,144.861664,16527,Christ The King PS/Churchill Ave,3019
39,maidstone,-37.78248,144.868088,20878,Churchill Ave/Ballarat Rd,3012
40,sunshine,-37.78499,144.832733,22344,Clarke St/Devonshire Rd,3020
41,braybrook,-37.77942,144.849319,22363,Commerce St/Ballarat Rd,3019
42,sunshine,-37.78586,144.840881,20858,Cornwall Rd/Devonshire Rd,3020
43,braybrook,-37.7796669,144.851654,22364,Darnley St/Ballarat Rd,3019
44,sunshine,-37.78573,144.8462,22359,Devonshire Rd/Duke St,3020
45,maidstone,-37.7863,144.865952,20866,Dobson Reserve/Churchill Ave,3012
46,sunshine,-37.78633,144.845276,20860,Duke St/Devonshire Rd,3020
47,footscray,-37.7895355,144.8856,20885,Eleanor St/Ballarat Rd,3011
48,braybrook,-37.77989,144.855148,20873,Errol St/Ballarat Rd,3019
49,footscray,-37.7965622,144.888474,22383,Essex St/Gordon St,3011
