,year,postcode,rent
0,2019,3000,593.3475909361956
1,2020,3000,482.20895777178794
2,2021,3000,397.7896883192543
3,2022,3000,500.9218522372529
4,2023,3000,862.3928367458727
5,2024,3000,862.3928367458727
6,2025,3000,862.3928367458727
7,2019,3003,536.830985915493
8,2020,3003,482.23171974522296
9,2021,3003,422.30555555555554
10,2022,3003,467.8980891719745
11,2023,3003,591.7314675526213
12,2024,3003,591.7314675526213
13,2025,3003,591.7314675526213
14,2019,3004,684.9779614325068
15,2020,3004,596.9234793814433
16,2021,3004,526.3223529411765
17,2022,3004,592.936
18,2023,3004,946.6138478586802
19,2024,3004,946.6138478586802
20,2025,3004,946.6138478586802
21,2019,3006,797.6778189910979
22,2020,3006,564.9665199161426
23,2021,3006,470.22189723320156
24,2022,3006,595.4735632183908
25,2023,3006,783.9265771188572
26,2024,3006,783.9265771188572
27,2025,3006,783.9265771188572
28,2019,3008,640.079953650058
29,2020,3008,578.5651666666666
30,2021,3008,636.1165919282511
31,2022,3008,644.290672451193
32,2023,3008,951.2397790563103
33,2024,3008,951.2397790563103
34,2025,3008,951.2397790563103
35,2019,3011,545.485
36,2020,3011,425.748031496063
37,2021,3011,590.575
38,2022,3011,703.9349593495934
39,2023,3011,925.2063401769208
40,2024,3011,925.2063401769208
41,2025,3011,925.2063401769208
42,2019,3012,418.4663063063063
43,2020,3012,425.1421518987342
44,2021,3012,1972.641791044776
45,2022,3012,494.35897435897436
46,2023,3012,601.6034162990305
47,2024,3012,601.6034162990305
48,2025,3012,601.6034162990305
49,2019,3013,495.8776842105263
50,2020,3013,1505.4098360655737
51,2021,3013,612.5
52,2022,3013,617.7586206896551
53,2023,3013,651.2252521306124
54,2024,3013,651.2252521306124
55,2025,3013,651.2252521306124
56,2019,3015,607.9698039215687
57,2020,3015,525.2777777777778
58,2021,3015,519.1159420289855
59,2022,3015,561.3595505617977
60,2023,3015,585.9089335001785
61,2024,3015,585.9089335001785
62,2025,3015,585.9089335001785
63,2019,3016,683.3125
64,2020,3016,551.4814814814815
65,2021,3016,635.9245283018868
66,2022,3016,616.195652173913
67,2023,3016,676.6369096593165
68,2024,3016,676.6369096593165
69,2025,3016,676.6369096593165
70,2019,3018,477.05882352941177
71,2020,3018,493.84615384615387
72,2021,3018,449.0
73,2022,3018,473.6666666666667
74,2023,3018,551.6030842214332
75,2024,3018,551.6030842214332
76,2025,3018,551.6030842214332
77,2019,3019,921.5757575757576
78,2020,3019,416.47058823529414
79,2021,3019,481.07142857142856
80,2022,3019,444.02777777777777
81,2023,3019,609.8220488741654
82,2024,3019,609.8220488741654
83,2025,3019,609.8220488741654
84,2019,3020,438.13235294117646
85,2020,3020,388.73493975903614
86,2021,3020,396.14864864864865
87,2022,3020,400.42857142857144
88,2023,3020,476.6864579579351
89,2024,3020,476.6864579579351
90,2025,3020,476.6864579579351
91,2019,3021,376.5684210526316
92,2020,3021,364.3478260869565
93,2021,3021,385.9166666666667
94,2022,3021,399.0
95,2023,3021,435.2353013047767
96,2024,3021,435.2353013047767
97,2025,3021,435.2353013047767
98,2019,3022,348.1818181818182
99,2020,3022,347.0
100,2021,3022,441.25
101,2022,3022,383.8888888888889
102,2023,3022,472.6731141948333
103,2024,3022,472.6731141948333
104,2025,3022,472.6731141948333
105,2019,3023,424.6629213483146
106,2020,3023,417.8181818181818
107,2021,3023,426.80808080808083
108,2022,3023,444.2528735632184
109,2023,3023,431.5598718114962
110,2024,3023,431.5598718114962
111,2025,3023,431.5598718114962
112,2019,3024,368.61831521739134
113,2020,3024,367.44690476190476
114,2021,3024,362.1542028985507
115,2022,3024,382.8070175438597
116,2023,3024,418.2695526105643
117,2024,3024,418.2695526105643
118,2025,3024,418.2695526105643
119,2019,3025,478.4310344827586
120,2020,3025,440.54794520547944
121,2021,3025,465.5769230769231
122,2022,3025,460.5844155844156
123,2023,3025,501.6752040741414
124,2024,3025,501.6752040741414
125,2025,3025,501.6752040741414
126,2019,3026,445.5286666666667
127,2020,3026,438.3333333333333
128,2021,3026,995.2955999999999
129,2022,3026,471.7857142857143
130,2023,3026,495.70687676602324
131,2024,3026,495.70687676602324
132,2025,3026,495.70687676602324
133,2019,3028,358.7142857142857
134,2020,3028,373.0357142857143
135,2021,3028,353.7903225806452
136,2022,3028,363.030303030303
137,2023,3028,403.5332241832935
138,2024,3028,403.5332241832935
139,2025,3028,403.5332241832935
140,2019,3029,394.20103986135183
141,2020,3029,390.4238683127572
142,2021,3029,388.1662817551963
143,2022,3029,406.4201680672269
144,2023,3029,410.44058747776154
145,2024,3029,410.44058747776154
146,2025,3029,410.44058747776154
147,2019,3030,397.03132104454687
148,2020,3030,392.88353658536585
149,2021,3030,388.0745033112583
150,2022,3030,398.87895716945997
151,2023,3030,411.3930587056159
152,2024,3030,411.3930587056159
153,2025,3030,411.3930587056159
154,2019,3031,469.93506493506493
155,2020,3031,464.30379746835445
156,2021,3031,436.25925925925924
157,2022,3031,477.0833333333333
158,2023,3031,601.7999766637818
159,2024,3031,601.7999766637818
160,2025,3031,601.7999766637818
161,2019,3032,482.9409090909091
162,2020,3032,458.0769230769231
163,2021,3032,439.2901554404145
164,2022,3032,431.31067961165047
165,2023,3032,607.4577149323229
166,2024,3032,607.4577149323229
167,2025,3032,607.4577149323229
168,2019,3033,458.3766233766234
169,2020,3033,463.8157894736842
170,2021,3033,447.88732394366195
171,2022,3033,487.96875
172,2023,3033,495.4895572294497
173,2024,3033,495.4895572294497
174,2025,3033,495.4895572294497
175,2019,3034,447.0238095238095
176,2020,3034,436.8292682926829
177,2021,3034,433.2432432432432
178,2022,3034,480.44117647058823
179,2023,3034,481.97315210643166
180,2024,3034,481.97315210643166
181,2025,3034,481.97315210643166
182,2019,3036,450.85714285714283
183,2020,3036,458.75
184,2021,3036,431.6666666666667
185,2022,3036,431.6666666666667
186,2023,3036,473.23745326527734
187,2024,3036,473.23745326527734
188,2025,3036,473.23745326527734
189,2019,3037,415.63829787234044
190,2020,3037,397.56756756756755
191,2021,3037,401.44444444444446
192,2022,3037,410.0
193,2023,3037,430.8401273052334
194,2024,3037,430.8401273052334
195,2025,3037,430.8401273052334
196,2019,3038,434.84375
197,2020,3038,442.27272727272725
198,2021,3038,453.42105263157896
199,2022,3038,402.3076923076923
200,2023,3038,438.03142811299733
201,2024,3038,438.03142811299733
202,2025,3038,438.03142811299733
203,2019,3039,458.8235294117647
204,2020,3039,467.6585365853659
205,2021,3039,472.0567375886525
206,2022,3039,505.4512195121951
207,2023,3039,622.2529728632584
208,2024,3039,622.2529728632584
209,2025,3039,622.2529728632584
210,2019,3040,497.2
211,2020,3040,460.04464285714283
212,2021,3040,446.1993991416309
213,2022,3040,419.6753246753247
214,2023,3040,584.4089047354513
215,2024,3040,584.4089047354513
216,2025,3040,584.4089047354513
217,2019,3041,439.8181818181818
218,2020,3041,501.0975609756098
219,2021,3041,416.6666666666667
220,2022,3041,463.3076923076923
221,2023,3041,589.0279309535708
222,2024,3041,589.0279309535708
223,2025,3041,589.0279309535708
224,2019,3042,440.16964285714283
225,2020,3042,470.4761904761905
226,2021,3042,446.0
227,2022,3042,449.0996
228,2023,3042,510.57723595609605
229,2024,3042,510.57723595609605
230,2025,3042,510.57723595609605
231,2019,3043,396.86046511627904
232,2020,3043,398.13291139240505
233,2021,3043,414.7258064516129
234,2022,3043,452.35714285714283
235,2023,3043,447.00759036349984
236,2024,3043,447.00759036349984
237,2025,3043,447.00759036349984
238,2019,3044,445.54545454545456
239,2020,3044,450.12931034482756
240,2021,3044,431.44736842105266
241,2022,3044,455.4201680672269
242,2023,3044,489.3673155488685
243,2024,3044,489.3673155488685
244,2025,3044,489.3673155488685
245,2019,3046,413.094696969697
246,2020,3046,421.4505928853755
247,2021,3046,409.01960784313724
248,2022,3046,433.24701195219126
249,2023,3046,460.96997546843954
250,2024,3046,460.96997546843954
251,2025,3046,460.96997546843954
252,2019,3047,352.0625
253,2020,3047,361.14
254,2021,3047,355.6842105263158
255,2022,3047,339.25
256,2023,3047,387.1823859985046
257,2024,3047,387.1823859985046
258,2025,3047,387.1823859985046
259,2019,3048,349.38461538461536
